Metric,Value
STOI Noisy (L),0.5414683938026428
STOI Noisy (R),0.42411079853773115
STOI Enhanced (L),0.6027667328715325
STOI Enhanced (R),0.4526586405932903
STOI Improvement (L),0.06129833906888971
STOI Improvement (R),0.02854784205555916
MBSTOI Noisy,0.6874907285046207
MBSTOI Enhanced,0.6069022551369336
MBSTOI Improvement,-0.08058847336768704
PESQ Noisy (L),1.522846245765686
PESQ Noisy (R),1.2907065153121948
PESQ Enhanced (L),1.632969582080841
PESQ Enhanced (R),1.3294629454612732
PESQ Improvement (L),0.11012333631515503
PESQ Improvement (R),0.03875643014907837
SNR Noisy (L),-2.3610389756440435
SNR Noisy (R),-4.228614464194946
SNR Enhanced (L),-9.430258104466652
SNR Enhanced (R),-9.354108467176864
SNR Improvement (L),-7.069219128822609
SNR Improvement (R),-5.1254940029819185
ILD Error,6.352281474961058
IPD Error,42.952371724514485
