Metric,Value
STOI Noisy (L),0.34802268513224344
STOI Enhanced (L),0.4372132000598041
STOI Improvement (L),0.08919051492756064
STOI Noisy (R),0.28117975626479497
STOI Enhanced (R),0.35584709353067656
STOI Improvement (R),0.0746673372658816
MBSTOI Noisy,0.24314023775007226
MBSTOI Enhanced,0.3374245648998768
MBSTOI Improvement,0.09428432714980456
SegSNR Noisy (L),-7.584516073021001
SegSNR Enhanced (L),-9.94536368502821
SegSNR Improvement (L),-2.36084761200721
SegSNR Noisy (R),-8.053824422554886
SegSNR Enhanced (R),-9.962584194985139
SegSNR Improvement (R),-1.908759772430253
ILD Error,4.724026939055573
IPD Error,41.09314291280227
