Metric,Value
STOI Noisy (L),0.5384768098592758
STOI Enhanced (L),0.6343275578484071
STOI Improvement (L),0.09585074798913129
STOI Noisy (R),0.4591975128994538
STOI Enhanced (R),0.5857170628240476
STOI Improvement (R),0.12651954992459374
MBSTOI Noisy,0.434953430547717
MBSTOI Enhanced,0.5636315429888318
MBSTOI Improvement,0.12867811244111477
SegSNR Noisy (L),-6.070567071747102
SegSNR Enhanced (L),-9.918535278133687
SegSNR Improvement (L),-3.847968206386585
SegSNR Noisy (R),-6.920557555082089
SegSNR Enhanced (R),-9.934452140959413
SegSNR Improvement (R),-3.013894585877324
ILD Error,4.718052923498664
IPD Error,35.35644529359991
